title,summary,published,year,month,category
"Big Data Analytics for Manufacturing Internet of Things: Opportunities,
  Challenges and Enabling Technologies","The recent advances in information and communication technology (ICT) have
promoted the evolution of conventional computer-aided manufacturing industry to
smart data-driven manufacturing. Data analytics in massive manufacturing data
can extract huge business values while can also result in research challenges
due to the heterogeneous data types, enormous volume and real-time velocity of
manufacturing data. This paper provides an overview on big data analytics in
manufacturing Internet of Things (MIoT). This paper first starts with a
discussion on necessities and challenges of big data analytics in manufacturing
data of MIoT. Then, the enabling technologies of big data analytics of
manufacturing data are surveyed and discussed. Moreover, this paper also
outlines the future directions in this promising area.",2019-09-01,2019,2019-09,manufacturing
"Research Directions in Democratizing Innovation through Design
  Automation, One-Click Manufacturing Services and Intelligent Machines","The digitalization of manufacturing has created opportunities for consumers
to customize products that fit their individualized needs which in turn would
drive demand for manufacturing services. However, this pull-based manufacturing
system production of extremely low quantity and limitless variety for products
is expensive to implement. New emerging technology in design automation driven
by data-driven computational design, manufacturing-as-a-service marketplaces
and digitally enabled micro-factories holds promise towards democratization of
innovation. In this paper, scientific, technology and infrastructure challenges
are identified and if solved, the impact of these emerging technologies on
product innovation and future factory organization is discussed.",2019-09-23,2019,2019-09,manufacturing
Manufacturing Dispatching using Reinforcement and Transfer Learning,"Efficient dispatching rule in manufacturing industry is key to ensure product
on-time delivery and minimum past-due and inventory cost. Manufacturing,
especially in the developed world, is moving towards on-demand manufacturing
meaning a high mix, low volume product mix. This requires efficient dispatching
that can work in dynamic and stochastic environments, meaning it allows for
quick response to new orders received and can work over a disparate set of shop
floor settings. In this paper we address this problem of dispatching in
manufacturing. Using reinforcement learning (RL), we propose a new design to
formulate the shop floor state as a 2-D matrix, incorporate job slack time into
state representation, and design lateness and tardiness rewards function for
dispatching purpose. However, maintaining a separate RL model for each
production line on a manufacturing shop floor is costly and often infeasible.
To address this, we enhance our deep RL model with an approach for dispatching
policy transfer. This increases policy generalization and saves time and cost
for model training and data collection. Experiments show that: (1) our approach
performs the best in terms of total discounted reward and average lateness,
tardiness, (2) the proposed policy transfer approach reduces training time and
increases policy generalization.",2019-10-04,2019,2019-10,manufacturing
Recurrent neural network approach for cyclic job shop scheduling problem,"While cyclic scheduling is involved in numerous real-world applications,
solving the derived problem is still of exponential complexity. This paper
focuses specifically on modelling the manufacturing application as a cyclic job
shop problem and we have developed an efficient neural network approach to
minimise the cycle time of a schedule. Our approach introduces an interesting
model for a manufacturing production, and it is also very efficient, adaptive
and flexible enough to work with other techniques. Experimental results
validated the approach and confirmed our hypotheses about the system model and
the efficiency of neural networks for such a class of problems.",2019-10-21,2019,2019-10,manufacturing
One-Shot Recognition of Manufacturing Defects in Steel Surfaces,"Quality control is an essential process in manufacturing to make the product
defect-free as well as to meet customer needs. The automation of this process
is important to maintain high quality along with the high manufacturing
throughput. With recent developments in deep learning and computer vision
technologies, it has become possible to detect various features from the images
with near-human accuracy. However, many of these approaches are data intensive.
Training and deployment of such a system on manufacturing floors may become
expensive and time-consuming. The need for large amounts of training data is
one of the limitations of the applicability of these approaches in real-world
manufacturing systems. In this work, we propose the application of a Siamese
convolutional neural network to do one-shot recognition for such a task. Our
results demonstrate how one-shot learning can be used in quality control of
steel by identification of defects on the steel surface. This method can
significantly reduce the requirements of training data and can also be run in
real-time.",2020-05-12,2020,2020-05,manufacturing
A Survey of Cybersecurity of Digital Manufacturing,"The Industry 4.0 concept promotes a digital manufacturing (DM) paradigm that
can enhance quality and productivity, that reduces inventory and the lead-time
for delivering custom, batch-of-one products based on achieving convergence of
Additive, Subtractive, and Hybrid manufacturing machines, Automation and
Robotic Systems, Sensors, Computing, and Communication Networks, Artificial
Intelligence, and Big Data. A DM system consists of embedded electronics,
sensors, actuators, control software, and inter-connectivity to enable the
machines and the components within them to exchange data with other machines,
components therein, the plant operators, the inventory managers, and customers.
This paper presents the cybersecurity risks in the emerging DM context,
assesses the impact on manufacturing, and identifies approaches to secure DM.",2020-06-09,2020,2020-06,manufacturing
Using Semantic Web Services for AI-Based Research in Industry 4.0,"The transition to Industry 4.0 requires smart manufacturing systems that are
easily configurable and provide a high level of flexibility during
manufacturing in order to achieve mass customization or to support cloud
manufacturing. To realize this, Cyber-Physical Systems (CPSs) combined with
Artificial Intelligence (AI) methods find their way into manufacturing shop
floors. For using AI methods in the context of Industry 4.0, semantic web
services are indispensable to provide a reasonable abstraction of the
underlying manufacturing capabilities. In this paper, we present semantic web
services for AI-based research in Industry 4.0. Therefore, we developed more
than 300 semantic web services for a physical simulation factory based on Web
Ontology Language for Web Services (OWL-S) and Web Service Modeling Ontology
(WSMO) and linked them to an already existing domain ontology for intelligent
manufacturing control. Suitable for the requirements of CPS environments, our
pre- and postconditions are verified in near real-time by invoking other
semantic web services in contrast to complex reasoning within the knowledge
base. Finally, we evaluate our implementation by executing a cyber-physical
workflow composed of semantic web services using a workflow management system.",2020-07-07,2020,2020-07,manufacturing
"Explainable Artificial Intelligence Based Fault Diagnosis and Insight
  Harvesting for Steel Plates Manufacturing","With the advent of Industry 4.0, Data Science and Explainable Artificial
Intelligence (XAI) has received considerable intrest in recent literature.
However, the entry threshold into XAI, in terms of computer coding and the
requisite mathematical apparatus, is really high. For fault diagnosis of steel
plates, this work reports on a methodology of incorporating XAI based insights
into the Data Science process of development of high precision classifier.
Using Synthetic Minority Oversampling Technique (SMOTE) and notion of medoids,
insights from XAI tools viz. Ceteris Peribus profiles, Partial Dependence and
Breakdown profiles have been harvested. Additionally, insights in the form of
IF-THEN rules have also been extracted from an optimized Random Forest and
Association Rule Mining. Incorporating all the insights into a single ensemble
classifier, a 10 fold cross validated performance of 94% has been achieved. In
sum total, this work makes three main contributions viz.: methodology based
upon utilization of medoids and SMOTE, of gleaning insights and incorporating
into model development process. Secondly the insights themselves are
contribution, as they benefit the human experts of steel manufacturing
industry, and thirdly a high precision fault diagnosis classifier has been
developed.",2020-08-10,2020,2020-08,manufacturing
"AI-based Modeling and Data-driven Evaluation for Smart Manufacturing
  Processes","Smart Manufacturing refers to optimization techniques that are implemented in
production operations by utilizing advanced analytics approaches. With the
widespread increase in deploying Industrial Internet of Things (IIoT) sensors
in manufacturing processes, there is a progressive need for optimal and
effective approaches to data management. Embracing Machine Learning and
Artificial Intelligence to take advantage of manufacturing data can lead to
efficient and intelligent automation. In this paper, we conduct a comprehensive
analysis based on Evolutionary Computing and Deep Learning algorithms toward
making semiconductor manufacturing smart. We propose a dynamic algorithm for
gaining useful insights about semiconductor manufacturing processes and to
address various challenges. We elaborate on the utilization of a Genetic
Algorithm and Neural Network to propose an intelligent feature selection
algorithm. Our objective is to provide an advanced solution for controlling
manufacturing processes and to gain perspective on various dimensions that
enable manufacturers to access effective predictive technologies.",2020-08-29,2020,2020-08,manufacturing
"Toolpath design for additive manufacturing using deep reinforcement
  learning","Toolpath optimization of metal-based additive manufacturing processes is
currently hampered by the high-dimensionality of its design space. In this
work, a reinforcement learning platform is proposed that dynamically learns
toolpath strategies to build an arbitrary part. To this end, three prominent
model-free reinforcement learning formulations are investigated to design
additive manufacturing toolpaths and demonstrated for two cases of dense and
sparse reward structures. The results indicate that this learning-based
toolpath design approach achieves high scores, especially when a dense reward
structure is present.",2020-09-30,2020,2020-09,manufacturing
"Explainable Artificial Intelligence for Manufacturing Cost Estimation
  and Machining Feature Visualization","Studies on manufacturing cost prediction based on deep learning have begun in
recent years, but the cost prediction rationale cannot be explained because the
models are still used as a black box. This study aims to propose a
manufacturing cost prediction process for 3D computer-aided design (CAD) models
using explainable artificial intelligence. The proposed process can visualize
the machining features of the 3D CAD model that are influencing the increase in
manufacturing costs. The proposed process consists of (1) data collection and
pre-processing, (2) 3D deep learning architecture exploration, and (3)
visualization to explain the prediction results. The proposed deep learning
model shows high predictability of manufacturing cost for the computer
numerical control (CNC) machined parts. In particular, using 3D
gradient-weighted class activation mapping proves that the proposed model not
only can detect the CNC machining features but also can differentiate the
machining difficulty for the same feature. Using the proposed process, we can
provide a design guidance to engineering designers in reducing manufacturing
costs during the conceptual design phase. We can also provide real-time
quotations and redesign proposals to online manufacturing platform customers.",2020-10-28,2020,2020-10,manufacturing
Curiosity Based Reinforcement Learning on Robot Manufacturing Cell,"This paper introduces a novel combination of scheduling control on a flexible
robot manufacturing cell with curiosity based reinforcement learning.
Reinforcement learning has proved to be highly successful in solving tasks like
robotics and scheduling. But this requires hand tuning of rewards in problem
domains like robotics and scheduling even where the solution is not obvious. To
this end, we apply a curiosity based reinforcement learning, using intrinsic
motivation as a form of reward, on a flexible robot manufacturing cell to
alleviate this problem. Further, the learning agents are embedded into the
transportation robots to enable a generalized learning solution that can be
applied to a variety of environments. In the first approach, the curiosity
based reinforcement learning is applied to a simple structured robot
manufacturing cell. And in the second approach, the same algorithm is applied
to a graph structured robot manufacturing cell. Results from the experiments
show that the agents are able to solve both the environments with the ability
to transfer the curiosity module directly from one environment to another. We
conclude that curiosity based learning on scheduling tasks provide a viable
alternative to the reward shaped reinforcement learning traditionally used.",2020-11-17,2020,2020-11,manufacturing
"A Deep Reinforcement Learning Based Multi-Criteria Decision Support
  System for Textile Manufacturing Process Optimization","Textile manufacturing is a typical traditional industry involving high
complexity in interconnected processes with limited capacity on the application
of modern technologies. Decision-making in this domain generally takes multiple
criteria into consideration, which usually arouses more complexity. To address
this issue, the present paper proposes a decision support system that combines
the intelligent data-based random forest (RF) models and a human knowledge
based analytical hierarchical process (AHP) multi-criteria structure in
accordance to the objective and the subjective factors of the textile
manufacturing process. More importantly, the textile manufacturing process is
described as the Markov decision process (MDP) paradigm, and a deep
reinforcement learning scheme, the Deep Q-networks (DQN), is employed to
optimize it. The effectiveness of this system has been validated in a case
study of optimizing a textile ozonation process, showing that it can better
master the challenging decision-making tasks in textile manufacturing
processes.",2020-12-29,2020,2020-12,manufacturing
"Reliability Analysis of Artificial Intelligence Systems Using Recurrent
  Events Data from Autonomous Vehicles","Artificial intelligence (AI) systems have become increasingly common and the
trend will continue. Examples of AI systems include autonomous vehicles (AV),
computer vision, natural language processing, and AI medical experts. To allow
for safe and effective deployment of AI systems, the reliability of such
systems needs to be assessed. Traditionally, reliability assessment is based on
reliability test data and the subsequent statistical modeling and analysis. The
availability of reliability data for AI systems, however, is limited because
such data are typically sensitive and proprietary. The California Department of
Motor Vehicles (DMV) oversees and regulates an AV testing program, in which
many AV manufacturers are conducting AV road tests. Manufacturers participating
in the program are required to report recurrent disengagement events to
California DMV. This information is being made available to the public. In this
paper, we use recurrent disengagement events as a representation of the
reliability of the AI system in AV, and propose a statistical framework for
modeling and analyzing the recurrent events data from AV driving tests. We use
traditional parametric models in software reliability and propose a new
nonparametric model based on monotonic splines to describe the event process.
We develop inference procedures for selecting the best models, quantifying
uncertainty, and testing heterogeneity in the event process. We then analyze
the recurrent events data from four AV manufacturers, and make inferences on
the reliability of the AI systems in AV. We also describe how the proposed
analysis can be applied to assess the reliability of other AI systems.",2021-02-02,2021,2021-02,manufacturing
Actionable Cognitive Twins for Decision Making in Manufacturing,"Actionable Cognitive Twins are the next generation Digital Twins enhanced
with cognitive capabilities through a knowledge graph and artificial
intelligence models that provide insights and decision-making options to the
users. The knowledge graph describes the domain-specific knowledge regarding
entities and interrelationships related to a manufacturing setting. It also
contains information on possible decision-making options that can assist
decision-makers, such as planners or logisticians. In this paper, we propose a
knowledge graph modeling approach to construct actionable cognitive twins for
capturing specific knowledge related to demand forecasting and production
planning in a manufacturing plant. The knowledge graph provides semantic
descriptions and contextualization of the production lines and processes,
including data identification and simulation or artificial intelligence
algorithms and forecasts used to support them. Such semantics provide ground
for inferencing, relating different knowledge types: creative, deductive,
definitional, and inductive. To develop the knowledge graph models for
describing the use case completely, systems thinking approach is proposed to
design and verify the ontology, develop a knowledge graph and build an
actionable cognitive twin. Finally, we evaluate our approach in two use cases
developed for a European original equipment manufacturer related to the
automotive industry as part of the European Horizon 2020 project FACTLOG.",2021-03-23,2021,2021-03,manufacturing
Towards Active Learning Based Smart Assistant for Manufacturing,"A general approach for building a smart assistant that guides a user from a
forecast generated by a machine learning model through a sequence of
decision-making steps is presented. We develop a methodology to build such a
system. The system is demonstrated on a demand forecasting use case in
manufacturing. The methodology can be extended to several use cases in
manufacturing. The system provides means for knowledge acquisition, gathering
data from users. We envision active learning can be used to get data labels
where labeled data is scarce.",2021-03-30,2021,2021-03,manufacturing
"STARdom: an architecture for trusted and secure human-centered
  manufacturing systems","There is a lack of a single architecture specification that addresses the
needs of trusted and secure Artificial Intelligence systems with humans in the
loop, such as human-centered manufacturing systems at the core of the evolution
towards Industry 5.0. To realize this, we propose an architecture that
integrates forecasts, Explainable Artificial Intelligence, supports collecting
users' feedback, and uses Active Learning and Simulated Reality to enhance
forecasts and provide decision-making recommendations. The architecture
security is addressed as a general concern. We align the proposed architecture
with the Big Data Value Association Reference Architecture Model. We tailor it
for the domain of demand forecasting and validate it on a real-world case
study.",2021-04-02,2021,2021-04,manufacturing
"The Duo of Artificial Intelligence and Big Data for Industry 4.0: Review
  of Applications, Techniques, Challenges, and Future Research Directions","The increasing need for economic, safe, and sustainable smart manufacturing
combined with novel technological enablers, has paved the way for Artificial
Intelligence (AI) and Big Data in support of smart manufacturing. This implies
a substantial integration of AI, Industrial Internet of Things (IIoT),
Robotics, Big data, Blockchain, 5G communications, in support of smart
manufacturing and the dynamical processes in modern industries. In this paper,
we provide a comprehensive overview of different aspects of AI and Big Data in
Industry 4.0 with a particular focus on key applications, techniques, the
concepts involved, key enabling technologies, challenges, and research
perspective towards deployment of Industry 5.0. In detail, we highlight and
analyze how the duo of AI and Big Data is helping in different applications of
Industry 4.0. We also highlight key challenges in a successful deployment of AI
and Big Data methods in smart industries with a particular emphasis on
data-related issues, such as availability, bias, auditing, management,
interpretability, communication, and different adversarial attacks and security
issues. In a nutshell, we have explored the significance of AI and Big data
towards Industry 4.0 applications through panoramic reviews and discussions. We
believe, this work will provide a baseline for future research in the domain.",2021-04-06,2021,2021-04,manufacturing
"The Role of Time and Data: Online Conformance Checking in the
  Manufacturing Domain","Process mining has matured as analysis instrument for process-oriented data
in recent years. Manufacturing is a challenging domain that craves for
process-oriented technologies to address digitalization challenges. We found
that process mining creates high expectations, but its implementation and usage
by manufacturing experts such as process supervisors and shopfloor workers
remain unclear to a certain extent. Reason (1) is that even though
manufacturing allows for well-structured processes, the actual workflow is
rarely captured in a process model. Even if a model is available, a software
for orchestrating and logging the execution is often missing. Reason (2) refers
to the work reality in manufacturing: a process instance is started by a
shopfloor worker who then turns to work on other things. Hence continuous
monitoring of the process instances does not happen, i.e., process monitoring
is merely a secondary task, and the shopfloor worker can only react to
problems/errors that have already occurred. (1) and (2) motivate the goals of
this study that is driven by Technical Action Research (TAR). Based on the
experimental artifact TIDATE -- a lightweight process execution and mining
framework -- it is studied how the correct execution of process instances can
be ensured and how a data set suitable for process mining can be generated at
run time in a real-world setting. Secondly, it is investigated whether and how
process mining supports domain experts during process monitoring as a secondary
task. The findings emphasize the importance of online conformance checking in
manufacturing and show how appropriate data sets can be identified and
generated.",2021-05-04,2021,2021-05,manufacturing
"XAI-KG: knowledge graph to support XAI and decision-making in
  manufacturing","The increasing adoption of artificial intelligence requires accurate
forecasts and means to understand the reasoning of artificial intelligence
models behind such a forecast. Explainable Artificial Intelligence (XAI) aims
to provide cues for why a model issued a certain prediction. Such cues are of
utmost importance to decision-making since they provide insights on the
features that influenced most certain forecasts and let the user decide if the
forecast can be trusted. Though many techniques were developed to explain
black-box models, little research was done on assessing the quality of those
explanations and their influence on decision-making. We propose an ontology and
knowledge graph to support collecting feedback regarding forecasts, forecast
explanations, recommended decision-making options, and user actions. This way,
we provide means to improve forecasting models, explanations, and
recommendations of decision-making options. We tailor the knowledge graph for
the domain of demand forecasting and validate it on real-world data.",2021-05-05,2021,2021-05,manufacturing
A Review of Explainable Artificial Intelligence in Manufacturing,"The implementation of Artificial Intelligence (AI) systems in the
manufacturing domain enables higher production efficiency, outstanding
performance, and safer operations, leveraging powerful tools such as deep
learning and reinforcement learning techniques. Despite the high accuracy of
these models, they are mostly considered black boxes: they are unintelligible
to the human. Opaqueness affects trust in the system, a factor that is critical
in the context of decision-making. We present an overview of Explainable
Artificial Intelligence (XAI) techniques as a means of boosting the
transparency of models. We analyze different metrics to evaluate these
techniques and describe several application scenarios in the manufacturing
domain.",2021-07-05,2021,2021-07,manufacturing
Monte Carlo Tree Search for high precision manufacturing,"Monte Carlo Tree Search (MCTS) has shown its strength for a lot of
deterministic and stochastic examples, but literature lacks reports of
applications to real world industrial processes. Common reasons for this are
that there is no efficient simulator of the process available or there exist
problems in applying MCTS to the complex rules of the process. In this paper,
we apply MCTS for optimizing a high-precision manufacturing process that has
stochastic and partially observable outcomes. We make use of an
expert-knowledge-based simulator and adapt the MCTS default policy to deal with
the manufacturing process.",2021-07-28,2021,2021-07,manufacturing
"Artificial Intelligence-Driven Customized Manufacturing Factory: Key
  Technologies, Applications, and Challenges","The traditional production paradigm of large batch production does not offer
flexibility towards satisfying the requirements of individual customers. A new
generation of smart factories is expected to support new multi-variety and
small-batch customized production modes. For that, Artificial Intelligence (AI)
is enabling higher value-added manufacturing by accelerating the integration of
manufacturing and information communication technologies, including computing,
communication, and control. The characteristics of a customized smart factory
are to include self-perception, operations optimization, dynamic
reconfiguration, and intelligent decision-making. The AI technologies will
allow manufacturing systems to perceive the environment, adapt to external
needs, and extract the processed knowledge, including business models, such as
intelligent production, networked collaboration, and extended service models.
  This paper focuses on the implementation of AI in customized manufacturing
(CM). The architecture of an AI-driven customized smart factory is presented.
Details of intelligent manufacturing devices, intelligent information
interaction, and the construction of a flexible manufacturing line are
showcased. The state-of-the-art AI technologies of potential use in CM, i.e.,
machine learning, multi-agent systems, Internet of Things, big data, and
cloud-edge computing are surveyed. The AI-enabled technologies in a customized
smart factory are validated with a case study of customized packaging. The
experimental results have demonstrated that the AI-assisted CM offers the
possibility of higher production flexibility and efficiency. Challenges and
solutions related to AI in CM are also discussed.",2021-08-07,2021,2021-08,manufacturing
Active Learning for Automated Visual Inspection of Manufactured Products,"Quality control is a key activity performed by manufacturing enterprises to
ensure products meet quality standards and avoid potential damage to the
brand's reputation. The decreased cost of sensors and connectivity enabled an
increasing digitalization of manufacturing. In addition, artificial
intelligence enables higher degrees of automation, reducing overall costs and
time required for defect inspection. In this research, we compare three active
learning approaches and five machine learning algorithms applied to visual
defect inspection with real-world data provided by Philips Consumer Lifestyle
BV. Our results show that active learning reduces the data labeling effort
without detriment to the models' performance.",2021-09-06,2021,2021-09,manufacturing
Graph Learning for Cognitive Digital Twins in Manufacturing Systems,"Future manufacturing requires complex systems that connect simulation
platforms and virtualization with physical data from industrial processes.
Digital twins incorporate a physical twin, a digital twin, and the connection
between the two. Benefits of using digital twins, especially in manufacturing,
are abundant as they can increase efficiency across an entire manufacturing
life-cycle. The digital twin concept has become increasingly sophisticated and
capable over time, enabled by rises in many technologies. In this paper, we
detail the cognitive digital twin as the next stage of advancement of a digital
twin that will help realize the vision of Industry 4.0. Cognitive digital twins
will allow enterprises to creatively, effectively, and efficiently exploit
implicit knowledge drawn from the experience of existing manufacturing systems.
They also enable more autonomous decisions and control, while improving the
performance across the enterprise (at scale). This paper presents graph
learning as one potential pathway towards enabling cognitive functionalities in
manufacturing digital twins. A novel approach to realize cognitive digital
twins in the product design stage of manufacturing that utilizes graph learning
is presented.",2021-09-17,2021,2021-09,manufacturing
