title,summary,published,year,month,category,url
Efficient Decision-Theoretic Planning: Techniques and Empirical Analysis,"This paper discusses techniques for performing efficient decision-theoretic
planning. We give an overview of the DRIPS decision-theoretic refinement
planning system, which uses abstraction to efficiently identify optimal plans.
We present techniques for automatically generating search control information,
which can significantly improve the planner's performance. We evaluate the
efficiency of DRIPS both with and without the search control rules on a complex
medical planning problem and compare its performance to that of a
branch-and-bound decision tree algorithm.",2013-02-20,2013,2013-02,medical,http://arxiv.org/abs/1302.4952v1
Graph-Grammar Assistance for Automated Generation of Influence Diagrams,"One of the most difficult aspects of modeling complex dilemmas in
decision-analytic terms is composing a diagram of relevance relations from a
set of domain concepts. Decision models in domains such as medicine, however,
exhibit certain prototypical patterns that can guide the modeling process.
Medical concepts can be classified according to semantic types that have
characteristic positions and typical roles in an influence-diagram model. We
have developed a graph-grammar production system that uses such inherent
interrelationships among medical terms to facilitate the modeling of medical
decisions.",2013-03-06,2013,2013-03,medical,http://arxiv.org/abs/1303.1482v1
Analysis in HUGIN of Data Conflict,"After a brief introduction to causal probabilistic networks and the HUGIN
approach, the problem of conflicting data is discussed. A measure of conflict
is defined, and it is used in the medical diagnostic system MUNIN. Finally, it
is discussed how to distinguish between conflicting data and a rare case.",2013-03-27,2013,2013-03,medical,http://arxiv.org/abs/1304.1146v1
"A Heuristic Bayesian Approach to Knowledge Acquisition: Application to
  Analysis of Tissue-Type Plasminogen Activator","This paper describes a heuristic Bayesian method for computing probability
distributions from experimental data, based upon the multivariate normal form
of the influence diagram. An example illustrates its use in medical technology
assessment. This approach facilitates the integration of results from different
studies, and permits a medical expert to make proper assessments without
considerable statistical training.",2013-03-27,2013,2013-03,medical,http://arxiv.org/abs/1304.2737v1
"A Combination of Cutset Conditioning with Clique-Tree Propagation in the
  Pathfinder System","Cutset conditioning and clique-tree propagation are two popular methods for
performing exact probabilistic inference in Bayesian belief networks. Cutset
conditioning is based on decomposition of a subset of network nodes, whereas
clique-tree propagation depends on aggregation of nodes. We describe a means to
combine cutset conditioning and clique- tree propagation in an approach called
aggregation after decomposition (AD). We discuss the application of the AD
method in the Pathfinder system, a medical expert system that offers assistance
with diagnosis in hematopathology.",2013-03-27,2013,2013-03,medical,http://arxiv.org/abs/1304.1114v1
Exact Reasoning Under Uncertainty,"This paper focuses on designing expert systems to support decision making in
complex, uncertain environments. In this context, our research indicates that
strictly probabilistic representations, which enable the use of
decision-theoretic reasoning, are highly preferable to recently proposed
alternatives (e.g., fuzzy set theory and Dempster-Shafer theory). Furthermore,
we discuss the language of influence diagrams and a corresponding methodology
-decision analysis -- that allows decision theory to be used effectively and
efficiently as a decision-making aid. Finally, we use RACHEL, a system that
helps infertile couples select medical treatments, to illustrate the
methodology of decision analysis as basis for expert decision systems.",2013-03-27,2013,2013-03,medical,http://arxiv.org/abs/1304.3442v1
"Induction and Uncertainty Management Techniques Applied to Veterinary
  Medical Diagnosis","This paper discusses a project undertaken between the Departments of
Computing Science, Statistics, and the College of Veterinary Medicine to design
a medical diagnostic system. On-line medical data has been collected in the
hospital database system for several years. A number of induction methods are
being used to extract knowledge from the data in an attempt to improve upon
simple diagnostic charts used by the clinicians. They also enhance the results
of classical statistical methods - finding many more significant variables. The
second part of the paper describes an essentially Bayesian method of evidence
combination using fuzzy events at an initial step. Results are presented and
comparisons are made with other methods.",2013-03-27,2013,2013-03,medical,http://arxiv.org/abs/1304.2344v1
"Using Belief Functions for Uncertainty Management and Knowledge
  Acquisition: An Expert Application","This paper describes recent work on an ongoing project in medical diagnosis
at the University of Guelph. A domain on which experts are not very good at
pinpointing a single disease outcome is explored. On-line medical data is
available over a relatively short period of time. Belief Functions
(Dempster-Shafer theory) are first extracted from data and then modified with
expert opinions. Several methods for doing this are compared and results show
that one formulation statistically outperforms the others, including a method
suggested by Shafer. Expert opinions and statistically derived information
about dependencies among symptoms are also compared. The benefits of using
uncertainty management techniques as methods for knowledge acquisition from
data are discussed.",2013-03-27,2013,2013-03,medical,http://arxiv.org/abs/1304.1127v1
"Experiments Using Belief Functions and Weights of Evidence incorporating
  Statistical Data and Expert Opinions","This paper presents some ideas and results of using uncertainty management
methods in the presence of data in preference to other statistical and machine
learning methods. A medical domain is used as a test-bed with data available
from a large hospital database system which collects symptom and outcome
information about patients. Data is often missing, of many variable types and
sample sizes for particular outcomes is not large. Uncertainty management
methods are useful for such domains and have the added advantage of allowing
for expert modification of belief values originally obtained from data.
Methodological considerations for using belief functions on statistical data
are dealt with in some detail. Expert opinions are Incorporated at various
levels of the project development and results are reported on an application to
liver disease diagnosis. Recent results contrasting the use of weights of
evidence and logistic regression on another medical domain are also presented.",2013-03-27,2013,2013-03,medical,http://arxiv.org/abs/1304.1519v1
"Using a bag of Words for Automatic Medical Image Annotation with a
  Latent Semantic","We present in this paper a new approach for the automatic annotation of
medical images, using the approach of ""bag-of-words"" to represent the visual
content of the medical image combined with text descriptors based approach
tf.idf and reduced by latent semantic to extract the co-occurrence between
terms and visual terms. A medical report is composed of a text describing a
medical image. First, we are interested to index the text and extract all
relevant terms using a thesaurus containing MeSH medical concepts. In a second
phase, the medical image is indexed while recovering areas of interest which
are invariant to change in scale, light and tilt. To annotate a new medical
image, we use the approach of ""bagof-words"" to recover the feature vector.
Indeed, we use the vector space model to retrieve similar medical image from
the database training. The calculation of the relevance value of an image to
the query image is based on the cosine function. We conclude with an experiment
carried out on five types of radiological imaging to evaluate the performance
of our system of medical annotation. The results showed that our approach works
better with more images from the radiology of the skull.",2013-06-02,2013,2013-06,medical,http://arxiv.org/abs/1306.0178v2
A hybrid decision support system : application on healthcare,"Many systems based on knowledge, especially expert systems for medical
decision support have been developed. Only systems are based on production
rules, and cannot learn and evolve only by updating them. In addition, taking
into account several criteria induces an exorbitant number of rules to be
injected into the system. It becomes difficult to translate medical knowledge
or a support decision as a simple rule. Moreover, reasoning based on generic
cases became classic and can even reduce the range of possible solutions. To
remedy that, we propose an approach based on using a multi-criteria decision
guided by a case-based reasoning (CBR) approach.",2013-11-16,2013,2013-11,medical,http://arxiv.org/abs/1311.4086v1
Medical Image Fusion: A survey of the state of the art,"Medical image fusion is the process of registering and combining multiple
images from single or multiple imaging modalities to improve the imaging
quality and reduce randomness and redundancy in order to increase the clinical
applicability of medical images for diagnosis and assessment of medical
problems. Multi-modal medical image fusion algorithms and devices have shown
notable achievements in improving clinical accuracy of decisions based on
medical images. This review article provides a factual listing of methods and
summarizes the broad scientific challenges faced in the field of medical image
fusion. We characterize the medical image fusion research based on (1) the
widely used image fusion methods, (2) imaging modalities, and (3) imaging of
organs that are under study. This review concludes that even though there
exists several open ended technological and scientific challenges, the fusion
of medical images has proved to be useful for advancing the clinical
reliability of using medical imaging for medical diagnostics and analysis, and
is a scientific discipline that has the potential to significantly grow in the
coming years.",2013-12-31,2013,2013-12,medical,http://arxiv.org/abs/1401.0166v1
"Medical diagnosis as pattern recognition in a framework of information
  compression by multiple alignment, unification and search","This paper describes a novel approach to medical diagnosis based on the SP
theory of computing and cognition. The main attractions of this approach are: a
format for representing diseases that is simple and intuitive; an ability to
cope with errors and uncertainties in diagnostic information; the simplicity of
storing statistical information as frequencies of occurrence of diseases; a
method for evaluating alternative diagnostic hypotheses that yields true
probabilities; and a framework that should facilitate unsupervised learning of
medical knowledge and the integration of medical diagnosis with other AI
applications.",2014-09-29,2014,2014-09,medical,http://arxiv.org/abs/1409.8053v1
"Subsumptive reflection in SNOMED CT: a large description logic-based
  terminology for diagnosis","Description logic (DL) based biomedical terminology (SNOMED CT) is used
routinely in medical practice. However, diagnostic inference using such
terminology is precluded by its complexity. Here we propose a model that
simplifies these inferential components. We propose three concepts that
classify clinical features and examined their effect on inference using SNOMED
CT. We used PAIRS (Physician Assistant Artificial Intelligence Reference
System) database (1964 findings for 485 disorders, 18 397 disease feature
links) for our analysis. We also use a 50-million medical word corpus for
estimating the vectors of disease-feature links. Our major results are 10% of
finding-disorder links are concomitant in both assertion and negation where as
90% are either concomitant in assertion or negation. Logical implications of
PAIRS data on SNOMED CT include 70% of the links do not share any common system
while 18% share organ and 12% share both system and organ. Applications of
these principles for inference are discussed and suggestions are made for
deriving a diagnostic process using SNOMED CT. Limitations of these processes
and suggestions for improvements are also discussed.",2015-12-11,2015,2015-12,medical,http://arxiv.org/abs/1512.03516v1
"Harmonization of conflicting medical opinions using argumentation
  protocols and textual entailment - a case study on Parkinson disease","Parkinson's disease is the second most common neurodegenerative disease,
affecting more than 1.2 million people in Europe. Medications are available for
the management of its symptoms, but the exact cause of the disease is unknown
and there is currently no cure on the market. To better understand the
relations between new findings and current medical knowledge, we need tools
able to analyse published medical papers based on natural language processing
and tools capable to identify various relationships of new findings with the
current medical knowledge. Our work aims to fill the above technological gap.
  To identify conflicting information in medical documents, we enact textual
entailment technology. To encapsulate existing medical knowledge, we rely on
ontologies. To connect the formal axioms in ontologies with natural text in
medical articles, we exploit ontology verbalisation techniques. To assess the
level of disagreement between human agents with respect to a medical issue, we
rely on fuzzy aggregation. To harmonize this disagreement, we design mediation
protocols within a multi-agent framework.",2016-07-27,2016,2016-07,medical,http://arxiv.org/abs/1607.08075v1
Relational Models,"We provide a survey on relational models. Relational models describe complete
networked {domains by taking into account global dependencies in the data}.
Relational models can lead to more accurate predictions if compared to
non-relational machine learning approaches. Relational models typically are
based on probabilistic graphical models, e.g., Bayesian networks, Markov
networks, or latent variable models. Relational models have applications in
social networks analysis, the modeling of knowledge graphs, bioinformatics,
recommendation systems, natural language processing, medical decision support,
and linked data.",2016-09-11,2016,2016-09,medical,http://arxiv.org/abs/1609.03145v1
"GOTM: a Goal-Oriented Framework for Capturing Uncertainty of Medical
  Treatments","It has been widely recognized that uncertainty is an inevitable aspect of
diagnosis and treatment of medical disorders. Such uncertainties hence, need to
be considered in computerized medical models. The existing medical modeling
techniques however, have mainly focused on capturing uncertainty associated
with diagnosis of medical disorders while ignoring uncertainty of treatments.
To tackle this issue, we have proposed using a fuzzy-based modeling and
description technique for capturing uncertainties in treatment plans. We have
further contributed a formal framework which allows for goal-oriented modeling
and analysis of medical treatments.",2016-12-09,2016,2016-12,medical,http://arxiv.org/abs/1612.02904v2
"Neural Networks for Joint Sentence Classification in Medical Paper
  Abstracts","Existing models based on artificial neural networks (ANNs) for sentence
classification often do not incorporate the context in which sentences appear,
and classify sentences individually. However, traditional sentence
classification approaches have been shown to greatly benefit from jointly
classifying subsequent sentences, such as with conditional random fields. In
this work, we present an ANN architecture that combines the effectiveness of
typical ANN models to classify sentences in isolation, with the strength of
structured prediction. Our model achieves state-of-the-art results on two
different datasets for sequential sentence classification in medical abstracts.",2016-12-15,2016,2016-12,medical,http://arxiv.org/abs/1612.05251v1
"Learning and inference in knowledge-based probabilistic model for
  medical diagnosis","Based on a weighted knowledge graph to represent first-order knowledge and
combining it with a probabilistic model, we propose a methodology for the
creation of a medical knowledge network (MKN) in medical diagnosis. When a set
of symptoms is activated for a specific patient, we can generate a ground
medical knowledge network composed of symptom nodes and potential disease
nodes. By Incorporating a Boltzmann machine into the potential function of a
Markov network, we investigated the joint probability distribution of the MKN.
In order to deal with numerical symptoms, a multivariate inference model is
presented that uses conditional probability. In addition, the weights for the
knowledge graph were efficiently learned from manually annotated Chinese
Electronic Medical Records (CEMRs). In our experiments, we found numerically
that the optimum choice of the quality of disease node and the expression of
symptom variable can improve the effectiveness of medical diagnosis. Our
experimental results comparing a Markov logic network and the logistic
regression algorithm on an actual CEMR database indicate that our method holds
promise and that MKN can facilitate studies of intelligent diagnosis.",2017-03-28,2017,2017-03,medical,http://arxiv.org/abs/1703.09368v1
Brain Intelligence: Go Beyond Artificial Intelligence,"Artificial intelligence (AI) is an important technology that supports daily
social life and economic activities. It contributes greatly to the sustainable
growth of Japan's economy and solves various social problems. In recent years,
AI has attracted attention as a key for growth in developed countries such as
Europe and the United States and developing countries such as China and India.
The attention has been focused mainly on developing new artificial intelligence
information communication technology (ICT) and robot technology (RT). Although
recently developed AI technology certainly excels in extracting certain
patterns, there are many limitations. Most ICT models are overly dependent on
big data, lack a self-idea function, and are complicated. In this paper, rather
than merely developing next-generation artificial intelligence technology, we
aim to develop a new concept of general-purpose intelligence cognition
technology called Beyond AI. Specifically, we plan to develop an intelligent
learning model called Brain Intelligence (BI) that generates new ideas about
events without having experienced them by using artificial life with an imagine
function. We will also conduct demonstrations of the developed BI intelligence
learning model on automatic driving, precision medical care, and industrial
robots.",2017-06-04,2017,2017-06,medical,http://arxiv.org/abs/1706.01040v1
"Technical Report: Implementation and Validation of a Smart Health
  Application","In this article, we explain in detail the internal structures and databases
of a smart health application. Moreover, we describe how to generate a
statistically sound synthetic dataset using real-world medical data.",2017-06-13,2017,2017-06,medical,http://arxiv.org/abs/1706.04109v1
"PDD Graph: Bridging Electronic Medical Records and Biomedical Knowledge
  Graphs via Entity Linking","Electronic medical records contain multi-format electronic medical data that
consist of an abundance of medical knowledge. Facing with patient's symptoms,
experienced caregivers make right medical decisions based on their professional
knowledge that accurately grasps relationships between symptoms, diagnosis and
corresponding treatments. In this paper, we aim to capture these relationships
by constructing a large and high-quality heterogenous graph linking patients,
diseases, and drugs (PDD) in EMRs. Specifically, we propose a novel framework
to extract important medical entities from MIMIC-III (Medical Information Mart
for Intensive Care III) and automatically link them with the existing
biomedical knowledge graphs, including ICD-9 ontology and DrugBank. The PDD
graph presented in this paper is accessible on the Web via the SPARQL endpoint,
and provides a pathway for medical discovery and applications, such as
effective treatment recommendations.",2017-07-17,2017,2017-07,medical,http://arxiv.org/abs/1707.05340v2
"Explainable Artificial Intelligence: Understanding, Visualizing and
  Interpreting Deep Learning Models","With the availability of large databases and recent improvements in deep
learning methodology, the performance of AI systems is reaching or even
exceeding the human level on an increasing number of complex tasks. Impressive
examples of this development can be found in domains such as image
classification, sentiment analysis, speech understanding or strategic game
playing. However, because of their nested non-linear structure, these highly
successful machine learning and artificial intelligence models are usually
applied in a black box manner, i.e., no information is provided about what
exactly makes them arrive at their predictions. Since this lack of transparency
can be a major drawback, e.g., in medical applications, the development of
methods for visualizing, explaining and interpreting deep learning models has
recently attracted increasing attention. This paper summarizes recent
developments in this field and makes a plea for more interpretability in
artificial intelligence. Furthermore, it presents two approaches to explaining
predictions of deep learning models, one method which computes the sensitivity
of the prediction with respect to changes in the input and one approach which
meaningfully decomposes the decision in terms of the input variables. These
methods are evaluated on three classification tasks.",2017-08-28,2017,2017-08,medical,http://arxiv.org/abs/1708.08296v1
Artificial Intelligence and Statistics,"Artificial intelligence (AI) is intrinsically data-driven. It calls for the
application of statistical concepts through human-machine collaboration during
generation of data, development of algorithms, and evaluation of results. This
paper discusses how such human-machine collaboration can be approached through
the statistical concepts of population, question of interest,
representativeness of training data, and scrutiny of results (PQRS). The PQRS
workflow provides a conceptual framework for integrating statistical ideas with
human input into AI products and research. These ideas include experimental
design principles of randomization and local control as well as the principle
of stability to gain reproducibility and interpretability of algorithms and
data results. We discuss the use of these principles in the contexts of
self-driving cars, automated medical diagnoses, and examples from the authors'
collaborative research.",2017-12-08,2017,2017-12,medical,http://arxiv.org/abs/1712.03779v1
Artificial intelligence and pediatrics: A synthetic mini review,"The use of artificial intelligence intelligencein medicine can be traced back
to 1968 when Paycha published his paper Le diagnostic a l'aide d'intelligences
artificielle, presentation de la premiere machine diagnostri. Few years later
Shortliffe et al. presented an expert system named Mycin which was able to
identify bacteria causing severe blood infections and to recommend antibiotics.
Despite the fact that Mycin outperformed members of the Stanford medical school
in the reliability of diagnosis it was never used in practice due to a legal
issue who do you sue if it gives a wrong diagnosis?. However only in 2016 when
the artificial intelligence software built into the IBM Watson AI platform
correctly diagnosed and proposed an effective treatment for a 60-year-old
womans rare form of leukemia the AI use in medicine become really popular.On of
first papers presenting the use of AI in paediatrics was published in 1984. The
paper introduced a computer-assisted medical decision making system called
SHELP.",2018-02-16,2018,2018-02,medical,http://arxiv.org/abs/1802.06068v1
"Generating retinal flow maps from structural optical coherence
  tomography with artificial intelligence","Despite significant advances in artificial intelligence (AI) for computer
vision, its application in medical imaging has been limited by the burden and
limits of expert-generated labels. We used images from optical coherence
tomography angiography (OCTA), a relatively new imaging modality that measures
perfusion of the retinal vasculature, to train an AI algorithm to generate
vasculature maps from standard structural optical coherence tomography (OCT)
images of the same retinae, both exceeding the ability and bypassing the need
for expert labeling. Deep learning was able to infer perfusion of
microvasculature from structural OCT images with similar fidelity to OCTA and
significantly better than expert clinicians (P < 0.00001). OCTA suffers from
need of specialized hardware, laborious acquisition protocols, and motion
artifacts; whereas our model works directly from standard OCT which are
ubiquitous and quick to obtain, and allows unlocking of large volumes of
previously collected standard OCT data both in existing clinical trials and
clinical practice. This finding demonstrates a novel application of AI to
medical imaging, whereby subtle regularities between different modalities are
used to image the same body part and AI is used to generate detailed and
accurate inferences of tissue function from structure imaging.",2018-02-24,2018,2018-02,medical,http://arxiv.org/abs/1802.08925v1
"A Conversational Interface to Improve Medication Adherence: Towards AI
  Support in Patient's Treatment","Medication adherence is of utmost importance for many chronic conditions,
regardless of the disease type. Engaging patients in self-tracking their
medication is a big challenge. One way to potentially reduce this burden is to
use reminders to promote wellness throughout all stages of life and improve
medication adherence. Chatbots have proven effectiveness in triggering users to
engage in certain activity, such as medication adherence. In this paper, we
discuss ""Roborto"", a chatbot to create an engaging interactive and intelligent
environment for patients and assist in positive lifestyle modification. We
introduce a way for healthcare providers to track patients adherence and
intervene whenever necessary. We describe the health, technical and behavioural
approaches to the problem of medication non-adherence and propose a diagnostic
and decision support tool. The proposed study will be implemented and validated
through a pilot experiment with users to measure the efficacy of the proposed
approach.",2018-03-03,2018,2018-03,medical,http://arxiv.org/abs/1803.09844v1
"Classifying medical relations in clinical text via convolutional neural
  networks","Deep learning research on relation classification has achieved solid
performance in the general domain. This study proposes a convolutional neural
network (CNN) architecture with a multi-pooling operation for medical relation
classification on clinical records and explores a loss function with a
category-level constraint matrix. Experiments using the 2010 i2b2/VA relation
corpus demonstrate these models, which do not depend on any external features,
outperform previous single-model methods and our best model is competitive with
the existing ensemble-based method.",2018-05-17,2018,2018-05,medical,http://arxiv.org/abs/1805.06665v1
"Producing radiologist-quality reports for interpretable artificial
  intelligence","Current approaches to explaining the decisions of deep learning systems for
medical tasks have focused on visualising the elements that have contributed to
each decision. We argue that such approaches are not enough to ""open the black
box"" of medical decision making systems because they are missing a key
component that has been used as a standard communication tool between doctors
for centuries: language. We propose a model-agnostic interpretability method
that involves training a simple recurrent neural network model to produce
descriptive sentences to clarify the decision of deep learning classifiers.
  We test our method on the task of detecting hip fractures from frontal pelvic
x-rays. This process requires minimal additional labelling despite producing
text containing elements that the original deep learning classification model
was not specifically trained to detect.
  The experimental results show that: 1) the sentences produced by our method
consistently contain the desired information, 2) the generated sentences are
preferred by doctors compared to current tools that create saliency maps, and
3) the combination of visualisations and generated text is better than either
alone.",2018-06-01,2018,2018-06,medical,http://arxiv.org/abs/1806.00340v1
Medical Concept Embedding with Time-Aware Attention,"Embeddings of medical concepts such as medication, procedure and diagnosis
codes in Electronic Medical Records (EMRs) are central to healthcare analytics.
Previous work on medical concept embedding takes medical concepts and EMRs as
words and documents respectively. Nevertheless, such models miss out the
temporal nature of EMR data. On the one hand, two consecutive medical concepts
do not indicate they are temporally close, but the correlations between them
can be revealed by the time gap. On the other hand, the temporal scopes of
medical concepts often vary greatly (e.g., \textit{common cold} and
\textit{diabetes}). In this paper, we propose to incorporate the temporal
information to embed medical codes. Based on the Continuous Bag-of-Words model,
we employ the attention mechanism to learn a ""soft"" time-aware context window
for each medical concept. Experiments on public and proprietary datasets
through clustering and nearest neighbour search tasks demonstrate the
effectiveness of our model, showing that it outperforms five state-of-the-art
baselines.",2018-06-06,2018,2018-06,medical,http://arxiv.org/abs/1806.02873v1
Behavior Trees as a Representation for Medical Procedures,"Objective: Effective collaboration between machines and clinicians requires
flexible data structures to represent medical processes and clinical practice
guidelines. Such a data structure could enable effective turn-taking between
human and automated components of a complex treatment, accurate on-line
monitoring of clinical treatments (for example to detect medical errors), or
automated treatment systems (such as future medical robots) whose overall
treatment plan is understandable and auditable by human experts.
  Materials and Methods: Behavior trees (BTs) emerged from video game
development as a graphical language for modeling intelligent agent behavior.
BTs have several properties which are attractive for modeling medical
procedures including human-readability, authoring tools, and composability.
  Results: This paper will illustrate construction of BTs for exemplary medical
procedures and clinical protocols.
  Discussion and Conclusion: Behavior Trees thus form a useful, and human
authorable/readable bridge between clinical practice guidelines and AI systems.",2018-08-27,2018,2018-08,medical,http://arxiv.org/abs/1808.08954v1
"Adaptive Structural Learning of Deep Belief Network for Medical
  Examination Data and Its Knowledge Extraction by using C4.5","Deep Learning has a hierarchical network architecture to represent the
complicated feature of input patterns. The adaptive structural learning method
of Deep Belief Network (DBN) has been developed. The method can discover an
optimal number of hidden neurons for given input data in a Restricted Boltzmann
Machine (RBM) by neuron generation-annihilation algorithm, and generate a new
hidden layer in DBN by the extension of the algorithm. In this paper, the
proposed adaptive structural learning of DBN was applied to the comprehensive
medical examination data for the cancer prediction. The prediction system shows
higher classification accuracy (99.8% for training and 95.5% for test) than the
traditional DBN. Moreover, the explicit knowledge with respect to the relation
between input and output patterns was extracted from the trained DBN network by
C4.5. Some characteristics extracted in the form of IF-THEN rules to find an
initial cancer at the early stage were reported in this paper.",2018-08-27,2018,2018-08,medical,http://arxiv.org/abs/1808.08777v1
