title,summary,published,year,month,category,url
"Cortex simulation system proposal using distributed computer network
  environments","In the dawn of computer science and the eve of neuroscience we participate in
rebirth of neuroscience due to new technology that allows us to deeply and
precisely explore whole new world that dwells in our brains.",2014-03-22,2014,2014-03,environment,http://arxiv.org/abs/1403.5701v1
Dynamic Sweep Filtering Algorithm for FlexC,"We investigate cumulative scheduling in uncertain environments, using
constraint programming. We detail in this paper the dynamic sweep filtering
algorithm of the FlexC global constraint.",2014-08-22,2014,2014-08,environment,http://arxiv.org/abs/1408.5377v1
"Hybrid Systems Knowledge Representation Using Modelling Environment
  System Techniques Artificial Intelligence","Knowledge-based or Artificial Intelligence techniques are used increasingly
as alternatives to more classical techniques to model ENVIRONMENTAL SYSTEMS.
Use of Artificial Intelligence (AI) in environmental modelling has increased
with recognition of its potential. In this paper we examine the DIFFERENT
TECHNIQUES of Artificial intelligence with profound examples of human
perception, learning and reasoning to solve complex problems. However with the
increase of complexity better methods are required. Keeping in view of the
above some researchers introduced the idea of hybrid mechanism in which two or
more methods can be combined which seems to be a positive effort for creating a
more complex; advanced and intelligent system which has the capability to in-
cooperate human decisions thus driving the landscape changes.",2014-09-03,2014,2014-09,environment,http://arxiv.org/abs/1409.1170v2
"Quantifying Natural and Artificial Intelligence in Robots and Natural
  Systems with an Algorithmic Behavioural Test","One of the most important aims of the fields of robotics, artificial
intelligence and artificial life is the design and construction of systems and
machines as versatile and as reliable as living organisms at performing high
level human-like tasks. But how are we to evaluate artificial systems if we are
not certain how to measure these capacities in living systems, let alone how to
define life or intelligence? Here I survey a concrete metric towards measuring
abstract properties of natural and artificial systems, such as the ability to
react to the environment and to control one's own behaviour.",2014-12-20,2014,2014-12,environment,http://arxiv.org/abs/1412.6703v2
"Quantifying Morphological Computation based on an Information
  Decomposition of the Sensorimotor Loop","The question how an agent is affected by its embodiment has attracted growing
attention in recent years. A new field of artificial intelligence has emerged,
which is based on the idea that intelligence cannot be understood without
taking into account embodiment. We believe that a formal approach to
quantifying the embodiment's effect on the agent's behaviour is beneficial to
the fields of artificial life and artificial intelligence. The contribution of
an agent's body and environment to its behaviour is also known as morphological
computation. Therefore, in this work, we propose a quantification of
morphological computation, which is based on an information decomposition of
the sensorimotor loop into shared, unique and synergistic information. In
numerical simulation based on a formal representation of the sensorimotor loop,
we show that the unique information of the body and environment is a good
measure for morphological computation. The results are compared to our
previously derived quantification of morphological computation.",2015-03-17,2015,2015-03,environment,http://arxiv.org/abs/1503.05113v1
Qsmodels: ASP Planning in Interactive Gaming Environment,"Qsmodels is a novel application of Answer Set Programming to interactive
gaming environment. We describe a software architecture by which the behavior
of a bot acting inside the Quake 3 Arena can be controlled by a planner. The
planner is written as an Answer Set Program and is interpreted by the Smodels
solver.",2015-05-27,2015,2015-05,environment,http://arxiv.org/abs/1505.07263v1
"An Empirical Comparison of Neural Architectures for Reinforcement
  Learning in Partially Observable Environments","This paper explores the performance of fitted neural Q iteration for
reinforcement learning in several partially observable environments, using
three recurrent neural network architectures: Long Short-Term Memory, Gated
Recurrent Unit and MUT1, a recurrent neural architecture evolved from a pool of
several thousands candidate architectures. A variant of fitted Q iteration,
based on Advantage values instead of Q values, is also explored. The results
show that GRU performs significantly better than LSTM and MUT1 for most of the
problems considered, requiring less training episodes and less CPU time before
learning a very good policy. Advantage learning also tends to produce better
results.",2015-12-17,2015,2015-12,environment,http://arxiv.org/abs/1512.05509v1
Category Theoretic Analysis of Photon-based Decision Making,"Decision making is a vital function in this age of machine learning and
artificial intelligence, yet its physical realization and theoretical
fundamentals are still not completely understood. In our former study, we
demonstrated that single-photons can be used to make decisions in uncertain,
dynamically changing environments. The two-armed bandit problem was
successfully solved using the dual probabilistic and particle attributes of
single photons. In this study, we present a category theoretic modeling and
analysis of single-photon-based decision making, including a quantitative
analysis that is in agreement with the experimental results. A category
theoretic model reveals the complex interdependencies of subject matter
entities in a simplified manner, even in dynamically changing environments. In
particular, the octahedral and braid structures in triangulated categories
provide a better understanding and quantitative metrics of the underlying
mechanisms of a single-photon decision maker. This study provides both insight
and a foundation for analyzing more complex and uncertain problems, to further
machine learning and artificial intelligence.",2016-02-26,2016,2016-02,environment,http://arxiv.org/abs/1602.08199v3
"Obstacle evasion using fuzzy logic in a sliding blades problem
  environment","This paper discusses obstacle avoidance using fuzzy logic and shortest path
algorithm. This paper also introduces the sliding blades problem and
illustrates how a drone can navigate itself through the swinging blade
obstacles while tracing a semi-optimal path and also maintaining constant
velocity",2016-05-03,2016,2016-05,environment,http://arxiv.org/abs/1605.00787v1
Minimally Naturalistic Artificial Intelligence,"The rapid advancement of machine learning techniques has re-energized
research into general artificial intelligence. While the idea of
domain-agnostic meta-learning is appealing, this emerging field must come to
terms with its relationship to human cognition and the statistics and structure
of the tasks humans perform. The position of this article is that only by
aligning our agents' abilities and environments with those of humans do we
stand a chance at developing general artificial intelligence (GAI). A broad
reading of the famous 'No Free Lunch' theorem is that there is no universally
optimal inductive bias or, equivalently, bias-free learning is impossible. This
follows from the fact that there are an infinite number of ways to extrapolate
data, any of which might be the one used by the data generating environment; an
inductive bias prefers some of these extrapolations to others, which lowers
performance in environments using these adversarial extrapolations. We may
posit that the optimal GAI is the one that maximally exploits the statistics of
its environment to create its inductive bias; accepting the fact that this
agent is guaranteed to be extremely sub-optimal for some alternative
environments. This trade-off appears benign when thinking about the environment
as being the physical universe, as performance on any fictive universe is
obviously irrelevant. But, we should expect a sharper inductive bias if we
further constrain our environment. Indeed, we implicitly do so by defining GAI
in terms of accomplishing that humans consider useful. One common version of
this is need the for 'common-sense reasoning', which implicitly appeals to the
statistics of physical universe as perceived by humans.",2017-01-14,2017,2017-01,environment,http://arxiv.org/abs/1701.03868v1
Don't Fear the Reaper: Refuting Bostrom's Superintelligence Argument,"In recent years prominent intellectuals have raised ethical concerns about
the consequences of artificial intelligence. One concern is that an autonomous
agent might modify itself to become ""superintelligent"" and, in supremely
effective pursuit of poorly specified goals, destroy all of humanity. This
paper considers and rejects the possibility of this outcome. We argue that this
scenario depends on an agent's ability to rapidly improve its ability to
predict its environment through self-modification. Using a Bayesian model of a
reasoning agent, we show that there are important limitations to how an agent
may improve its predictive ability through self-modification alone. We conclude
that concern about this artificial intelligence outcome is misplaced and better
directed at policy questions around data access and storage.",2017-02-27,2017,2017-02,environment,http://arxiv.org/abs/1702.08495v2
Ethical Artificial Intelligence - An Open Question,"Artificial Intelligence (AI) is an effective science which employs strong
enough approaches, methods, and techniques to solve unsolvable real world based
problems. Because of its unstoppable rise towards the future, there are also
some discussions about its ethics and safety. Shaping an AI friendly
environment for people and a people friendly environment for AI can be a
possible answer for finding a shared context of values for both humans and
robots. In this context, objective of this paper is to address the ethical
issues of AI and explore the moral dilemmas that arise from ethical algorithms,
from pre set or acquired values. In addition, the paper will also focus on the
subject of AI safety. As general, the paper will briefly analyze the concerns
and potential solutions to solving the ethical issues presented and increase
readers awareness on AI safety as another related research interest.",2017-05-16,2017,2017-05,environment,http://arxiv.org/abs/1706.03021v1
OPEB: Open Physical Environment Benchmark for Artificial Intelligence,"Artificial Intelligence methods to solve continuous- control tasks have made
significant progress in recent years. However, these algorithms have important
limitations and still need significant improvement to be used in industry and
real- world applications. This means that this area is still in an active
research phase. To involve a large number of research groups, standard
benchmarks are needed to evaluate and compare proposed algorithms. In this
paper, we propose a physical environment benchmark framework to facilitate
collaborative research in this area by enabling different research groups to
integrate their designed benchmarks in a unified cloud-based repository and
also share their actual implemented benchmarks via the cloud. We demonstrate
the proposed framework using an actual implementation of the classical
mountain-car example and present the results obtained using a Reinforcement
Learning algorithm.",2017-07-04,2017,2017-07,environment,http://arxiv.org/abs/1707.00790v1
"Investigating Reinforcement Learning Agents for Continuous State Space
  Environments","Given an environment with continuous state spaces and discrete actions, we
investigate using a Double Deep Q-learning Reinforcement Agent to find optimal
policies using the LunarLander-v2 OpenAI gym environment.",2017-08-08,2017,2017-08,environment,http://arxiv.org/abs/1708.02378v3
"Feasibility Study: Moving Non-Homogeneous Teams in Congested Video Game
  Environments","Multi-agent path finding (MAPF) is a well-studied problem in artificial
intelligence, where one needs to find collision-free paths for agents with
given start and goal locations. In video games, agents of different types often
form teams. In this paper, we demonstrate the usefulness of MAPF algorithms
from artificial intelligence for moving such non-homogeneous teams in congested
video game environments.",2017-10-04,2017,2017-10,environment,http://arxiv.org/abs/1710.01447v1
Towards a Deep Reinforcement Learning Approach for Tower Line Wars,"There have been numerous breakthroughs with reinforcement learning in the
recent years, perhaps most notably on Deep Reinforcement Learning successfully
playing and winning relatively advanced computer games. There is undoubtedly an
anticipation that Deep Reinforcement Learning will play a major role when the
first AI masters the complicated game plays needed to beat a professional
Real-Time Strategy game player. For this to be possible, there needs to be a
game environment that targets and fosters AI research, and specifically Deep
Reinforcement Learning. Some game environments already exist, however, these
are either overly simplistic such as Atari 2600 or complex such as Starcraft II
from Blizzard Entertainment. We propose a game environment in between Atari
2600 and Starcraft II, particularly targeting Deep Reinforcement Learning
algorithm research. The environment is a variant of Tower Line Wars from
Warcraft III, Blizzard Entertainment. Further, as a proof of concept that the
environment can harbor Deep Reinforcement algorithms, we propose and apply a
Deep Q-Reinforcement architecture. The architecture simplifies the state space
so that it is applicable to Q-learning, and in turn improves performance
compared to current state-of-the-art methods. Our experiments show that the
proposed architecture can learn to play the environment well, and score 33%
better than standard Deep Q-learning which in turn proves the usefulness of the
game environment.",2017-12-17,2017,2017-12,environment,http://arxiv.org/abs/1712.06180v1
"Narrow Artificial Intelligence with Machine Learning for Real-Time
  Estimation of a Mobile Agents Location Using Hidden Markov Models","We propose to use a supervised machine learning technique to track the
location of a mobile agent in real time. Hidden Markov Models are used to build
artificial intelligence that estimates the unknown position of a mobile target
moving in a defined environment. This narrow artificial intelligence performs
two distinct tasks. First, it provides real-time estimation of the mobile
agent's position using the forward algorithm. Second, it uses the Baum-Welch
algorithm as a statistical learning tool to gain knowledge of the mobile
target. Finally, an experimental environment is proposed, namely a video game
that we use to test our artificial intelligence. We present statistical and
graphical results to illustrate the efficiency of our method.",2018-02-09,2018,2018-02,environment,http://arxiv.org/abs/1802.03417v1
"Challenges and Characteristics of Intelligent Autonomy for Internet of
  Battle Things in Highly Adversarial Environments","Numerous, artificially intelligent, networked things will populate the
battlefield of the future, operating in close collaboration with human
warfighters, and fighting as teams in highly adversarial environments. This
paper explores the characteristics, capabilities and intelligence required of
such a network of intelligent things and humans - Internet of Battle Things
(IOBT). It will experience unique challenges that are not yet well addressed by
the current generation of AI and machine learning.",2018-03-20,2018,2018-03,environment,http://arxiv.org/abs/1803.11256v2
Artificial Intelligence and its Role in Near Future,"AI technology has a long history which is actively and constantly changing
and growing. It focuses on intelligent agents, which contain devices that
perceive the environment and based on which takes actions in order to maximize
goal success chances. In this paper, we will explain the modern AI basics and
various representative applications of AI. In the context of the modern
digitalized world, AI is the property of machines, computer programs, and
systems to perform the intellectual and creative functions of a person,
independently find ways to solve problems, be able to draw conclusions and make
decisions. Most artificial intelligence systems have the ability to learn,
which allows people to improve their performance over time. The recent research
on AI tools, including machine learning, deep learning and predictive analysis
intended toward increasing the planning, learning, reasoning, thinking and
action taking ability. Based on which, the proposed research intends towards
exploring on how the human intelligence differs from the artificial
intelligence. Moreover, we critically analyze what AI of today is capable of
doing, why it still cannot reach human intelligence and what are the open
challenges existing in front of AI to reach and outperform human level of
intelligence. Furthermore, it will explore the future predictions for
artificial intelligence and based on which potential solution will be
recommended to solve it within next decades.",2018-04-01,2018,2018-04,environment,http://arxiv.org/abs/1804.01396v1
Autonomous Wireless Systems with Artificial Intelligence,"This paper discusses technology and opportunities to embrace artificial
intelligence (AI) in the design of autonomous wireless systems. We aim to
provide readers with motivation and general AI methodology of autonomous agents
in the context of self-organization in real time by unifying knowledge
management with sensing, reasoning and active learning. We highlight
differences between training-based methods for matching problems and
training-free methods for environment-specific problems. Finally, we
conceptually introduce the functions of an autonomous agent with knowledge
management.",2018-06-27,2018,2018-06,environment,http://arxiv.org/abs/1806.10518v2
"Experience, Imitation and Reflection; Confucius' Conjecture and Machine
  Learning","Artificial intelligence recently had a great advancements caused by the
emergence of new processing power and machine learning methods. Having said
that, the learning capability of artificial intelligence is still at its
infancy comparing to the learning capability of human and many animals. Many of
the current artificial intelligence applications can only operate in a very
orchestrated, specific environments with an extensive training set that exactly
describes the conditions that will occur during execution time. Having that in
mind, and considering the several existing machine learning methods this
question rises that 'What are some of the best ways for a machine to learn?'
Regarding the learning methods of human, Confucius' point of view is that they
are by experience, imitation and reflection. This paper tries to explore and
discuss regarding these three ways of learning and their implementations in
machines by having a look at how they happen in minds.",2018-08-01,2018,2018-08,environment,http://arxiv.org/abs/1808.00222v1
"The Dreaming Variational Autoencoder for Reinforcement Learning
  Environments","Reinforcement learning has shown great potential in generalizing over raw
sensory data using only a single neural network for value optimization. There
are several challenges in the current state-of-the-art reinforcement learning
algorithms that prevent them from converging towards the global optima. It is
likely that the solution to these problems lies in short- and long-term
planning, exploration and memory management for reinforcement learning
algorithms. Games are often used to benchmark reinforcement learning algorithms
as they provide a flexible, reproducible, and easy to control environment.
Regardless, few games feature a state-space where results in exploration,
memory, and planning are easily perceived. This paper presents The Dreaming
Variational Autoencoder (DVAE), a neural network based generative modeling
architecture for exploration in environments with sparse feedback. We further
present Deep Maze, a novel and flexible maze engine that challenges DVAE in
partial and fully-observable state-spaces, long-horizon tasks, and
deterministic and stochastic problems. We show initial findings and encourage
further work in reinforcement learning driven by generative exploration.",2018-10-02,2018,2018-10,environment,http://arxiv.org/abs/1810.01112v1
Environments for Lifelong Reinforcement Learning,"To achieve general artificial intelligence, reinforcement learning (RL)
agents should learn not only to optimize returns for one specific task but also
to constantly build more complex skills and scaffold their knowledge about the
world, without forgetting what has already been learned. In this paper, we
discuss the desired characteristics of environments that can support the
training and evaluation of lifelong reinforcement learning agents, review
existing environments from this perspective, and propose recommendations for
devising suitable environments in the future.",2018-11-26,2018,2018-11,environment,http://arxiv.org/abs/1811.10732v2
"Evaluation of Multidisciplinary Effects of Artificial Intelligence with
  Optimization Perspective","Artificial Intelligence has an important place in the scientific community as
a result of its successful outputs in terms of different fields. In time, the
field of Artificial Intelligence has been divided into many sub-fields because
of increasing number of different solution approaches, methods, and techniques.
Machine Learning has the most remarkable role with its functions to learn from
samples from the environment. On the other hand, intelligent optimization done
by inspiring from nature and swarms had its own unique scientific literature,
with effective solutions provided for optimization problems from different
fields. Because intelligent optimization can be applied in different fields
effectively, this study aims to provide a general discussion on
multidisciplinary effects of Artificial Intelligence by considering its
optimization oriented solutions. The study briefly focuses on background of the
intelligent optimization briefly and then gives application examples of
intelligent optimization from a multidisciplinary perspective.",2019-02-04,2019,2019-02,environment,http://arxiv.org/abs/1902.01362v1
"Marathon Environments: Multi-Agent Continuous Control Benchmarks in a
  Modern Video Game Engine","Recent advances in deep reinforcement learning in the paradigm of locomotion
using continuous control have raised the interest of game makers for the
potential of digital actors using active ragdoll. Currently, the available
options to develop these ideas are either researchers' limited codebase or
proprietary closed systems. We present Marathon Environments, a suite of open
source, continuous control benchmarks implemented on the Unity game engine,
using the Unity ML- Agents Toolkit. We demonstrate through these benchmarks
that continuous control research is transferable to a commercial game engine.
Furthermore, we exhibit the robustness of these environments by reproducing
advanced continuous control research, such as learning to walk, run and
backflip from motion capture data; learning to navigate complex terrains; and
by implementing a video game input control system. We show further robustness
by training with alternative algorithms found in OpenAI.Baselines. Finally, we
share strategies for significantly reducing the training time.",2019-02-25,2019,2019-02,environment,http://arxiv.org/abs/1902.09097v1
"Artificial Intelligence in Intelligent Tutoring Robots: A Systematic
  Review and Design Guidelines","This study provides a systematic review of the recent advances in designing
the intelligent tutoring robot (ITR), and summarises the status quo of applying
artificial intelligence (AI) techniques. We first analyse the environment of
the ITR and propose a relationship model for describing interactions of ITR
with the students, the social milieu and the curriculum. Then, we transform the
relationship model into the perception-planning-action model for exploring what
AI techniques are suitable to be applied in the ITR. This article provides
insights on promoting human-robot teaching-learning process and AI-assisted
educational techniques, illustrating the design guidelines and future research
perspectives in intelligent tutoring robots.",2019-02-26,2019,2019-02,environment,http://arxiv.org/abs/1903.03414v1
Intelligent Autonomous Things on the Battlefield,"Numerous, artificially intelligent, networked things will populate the
battlefield of the future, operating in close collaboration with human
warfighters, and fighting as teams in highly adversarial environments. This
chapter explores the characteristics, capabilities and intelli-gence required
of such a network of intelligent things and humans - Internet of Battle Things
(IOBT). The IOBT will experience unique challenges that are not yet well
addressed by the current generation of AI and machine learning.",2019-02-26,2019,2019-02,environment,http://arxiv.org/abs/1902.10086v1
"An Actor-Critic-Attention Mechanism for Deep Reinforcement Learning in
  Multi-view Environments","In reinforcement learning algorithms, leveraging multiple views of the
environment can improve the learning of complicated policies. In multi-view
environments, due to the fact that the views may frequently suffer from partial
observability, their level of importance are often different. In this paper, we
propose a deep reinforcement learning method and an attention mechanism in a
multi-view environment. Each view can provide various representative
information about the environment. Through our attention mechanism, our method
generates a single feature representation of environment given its multiple
views. It learns a policy to dynamically attend to each view based on its
importance in the decision-making process. Through experiments, we show that
our method outperforms its state-of-the-art baselines on TORCS racing car
simulator and three other complex 3D environments with obstacles. We also
provide experimental results to evaluate the performance of our method on noisy
conditions and partial observation settings.",2019-07-19,2019,2019-07,environment,http://arxiv.org/abs/1907.09466v1
Artificial Intelligence Approaches,"Artificial Intelligence (AI) has received tremendous attention from academia,
industry, and the general public in recent years. The integration of geography
and AI, or GeoAI, provides novel approaches for addressing a variety of
problems in the natural environment and our human society. This entry briefly
reviews the recent development of AI with a focus on machine learning and deep
learning approaches. We discuss the integration of AI with geography and
particularly geographic information science, and present a number of GeoAI
applications and possible future directions.",2019-08-27,2019,2019-08,environment,http://arxiv.org/abs/1908.10345v1
"The Animal-AI Environment: Training and Testing Animal-Like Artificial
  Cognition","Recent advances in artificial intelligence have been strongly driven by the
use of game environments for training and evaluating agents. Games are often
accessible and versatile, with well-defined state-transitions and goals
allowing for intensive training and experimentation. However, agents trained in
a particular environment are usually tested on the same or slightly varied
distributions, and solutions do not necessarily imply any understanding. If we
want AI systems that can model and understand their environment, we need
environments that explicitly test for this. Inspired by the extensive
literature on animal cognition, we present an environment that keeps all the
positive elements of standard gaming environments, but is explicitly designed
for the testing of animal-like artificial cognition.",2019-09-12,2019,2019-09,environment,http://arxiv.org/abs/1909.07483v2
"A Perceived Environment Design using a Multi-Modal Variational
  Autoencoder for learning Active-Sensing","This contribution comprises the interplay between a multi-modal variational
autoencoder and an environment to a perceived environment, on which an agent
can act. Furthermore, we conclude our work with a comparison to
curiosity-driven learning.",2019-11-01,2019,2019-11,environment,http://arxiv.org/abs/1911.00584v1
"Artificial Intelligence Strategies for National Security and Safety
  Standards","Recent advances in artificial intelligence (AI) have lead to an explosion of
multimedia applications (e.g., computer vision (CV) and natural language
processing (NLP)) for different domains such as commercial, industrial, and
intelligence. In particular, the use of AI applications in a national security
environment is often problematic because the opaque nature of the systems leads
to an inability for a human to understand how the results came about. A
reliance on 'black boxes' to generate predictions and inform decisions is
potentially disastrous. This paper explores how the application of standards
during each stage of the development of an AI system deployed and used in a
national security environment would help enable trust. Specifically, we focus
on the standards outlined in Intelligence Community Directive 203 (Analytic
Standards) to subject machine outputs to the same rigorous standards as
analysis performed by humans.",2019-11-03,2019,2019-11,environment,http://arxiv.org/abs/1911.05727v1
"IKEA Furniture Assembly Environment for Long-Horizon Complex
  Manipulation Tasks","The IKEA Furniture Assembly Environment is one of the first benchmarks for
testing and accelerating the automation of complex manipulation tasks. The
environment is designed to advance reinforcement learning from simple toy tasks
to complex tasks requiring both long-term planning and sophisticated low-level
control. Our environment supports over 80 different furniture models, Sawyer
and Baxter robot simulation, and domain randomization. The IKEA Furniture
Assembly Environment is a testbed for methods aiming to solve complex
manipulation tasks. The environment is publicly available at
https://clvrai.com/furniture",2019-11-17,2019,2019-11,environment,http://arxiv.org/abs/1911.07246v1
Artificial Intelligence Aided Next-Generation Networks Relying on UAVs,"Artificial intelligence (AI) assisted unmanned aerial vehicle (UAV) aided
next-generation networking is proposed for dynamic environments. In the
AI-enabled UAV-aided wireless networks (UAWN), multiple UAVs are employed as
aerial base stations, which are capable of rapidly adapting to the dynamic
environment by collecting information about the users' position and
tele-traffic demands, learning from the environment and acting upon the
feedback received from the users. Moreover, AI enables the interaction amongst
a swarm of UAVs for cooperative optimization of the system. As a benefit of the
AI framework, several challenges of conventional UAWN may be circumvented,
leading to enhanced network performance, improved reliability and agile
adaptivity. As a further benefit, dynamic trajectory design and resource
allocation are demonstrated. Finally, potential research challenges and
opportunities are discussed.",2020-01-28,2020,2020-01,environment,http://arxiv.org/abs/2001.11958v1
Hacia los Comités de Ética en Inteligencia Artificial,"The goal of Artificial Intelligence based systems is to take decisions that
have an effect in their environment and impact society. This points out to the
necessity of mechanism that regulate the impact of this type of system in
society. For this reason, it is priority to create the rules and specialized
organizations that can oversight the following of such rules, particularly that
human rights precepts at local and international level. This work proposes the
creation, at the universities, of Ethical Committees or Commissions specialized
on Artificial Intelligence that would be in charge of define the principles and
will guarantee the following of good practices in the field Artificial
Intelligence.",2020-02-11,2020,2020-02,environment,http://arxiv.org/abs/2002.05673v1
