title,summary,published,year,month,category
Learning to Plan Chemical Syntheses,"From medicines to materials, small organic molecules are indispensable for
human well-being. To plan their syntheses, chemists employ a problem solving
technique called retrosynthesis. In retrosynthesis, target molecules are
recursively transformed into increasingly simpler precursor compounds until a
set of readily available starting materials is obtained. Computer-aided
retrosynthesis would be a highly valuable tool, however, past approaches were
slow and provided results of unsatisfactory quality. Here, we employ Monte
Carlo Tree Search (MCTS) to efficiently discover retrosynthetic routes. MCTS
was combined with an expansion policy network that guides the search, and an
""in-scope"" filter network to pre-select the most promising retrosynthetic
steps. These deep neural networks were trained on 12 million reactions, which
represents essentially all reactions ever published in organic chemistry. Our
system solves almost twice as many molecules and is 30 times faster in
comparison to the traditional search method based on extracted rules and
hand-coded heuristics. Finally after a 60 year history of computer-aided
synthesis planning, chemists can no longer distinguish between routes generated
by a computer system and real routes taken from the scientific literature. We
anticipate that our method will accelerate drug and materials discovery by
assisting chemists to plan better syntheses faster, and by enabling fully
automated robot synthesis.",2017-08-14,2017,2017-08,chemistry
Predicting Organic Reaction Outcomes with Weisfeiler-Lehman Network,"The prediction of organic reaction outcomes is a fundamental problem in
computational chemistry. Since a reaction may involve hundreds of atoms, fully
exploring the space of possible transformations is intractable. The current
solution utilizes reaction templates to limit the space, but it suffers from
coverage and efficiency issues. In this paper, we propose a template-free
approach to efficiently explore the space of product molecules by first
pinpointing the reaction center -- the set of nodes and edges where graph edits
occur. Since only a small number of atoms contribute to reaction center, we can
directly enumerate candidate products. The generated candidates are scored by a
Weisfeiler-Lehman Difference Network that models high-order interactions
between changes occurring at nodes across the molecule. Our framework
outperforms the top-performing template-based approach with a 10\% margin,
while running orders of magnitude faster. Finally, we demonstrate that the
model accuracy rivals the performance of domain experts.",2017-09-13,2017,2017-09,chemistry
"How Much Chemistry Does a Deep Neural Network Need to Know to Make
  Accurate Predictions?","The meteoric rise of deep learning models in computer vision research, having
achieved human-level accuracy in image recognition tasks is firm evidence of
the impact of representation learning of deep neural networks. In the chemistry
domain, recent advances have also led to the development of similar CNN models,
such as Chemception, that is trained to predict chemical properties using
images of molecular drawings. In this work, we investigate the effects of
systematically removing and adding localized domain-specific information to the
image channels of the training data. By augmenting images with only 3
additional basic information, and without introducing any architectural
changes, we demonstrate that an augmented Chemception (AugChemception)
outperforms the original model in the prediction of toxicity, activity, and
solvation free energy. Then, by altering the information content in the images,
and examining the resulting model's performance, we also identify two distinct
learning patterns in predicting toxicity/activity as compared to solvation free
energy. These patterns suggest that Chemception is learning about its tasks in
the manner that is consistent with established knowledge. Thus, our work
demonstrates that advanced chemical knowledge is not a pre-requisite for deep
learning models to accurately predict complex chemical properties.",2017-10-05,2017,2017-10,chemistry
Distributed Kernel K-Means for Large Scale Clustering,"Clustering samples according to an effective metric and/or vector space
representation is a challenging unsupervised learning task with a wide spectrum
of applications. Among several clustering algorithms, k-means and its
kernelized version have still a wide audience because of their conceptual
simplicity and efficacy. However, the systematic application of the kernelized
version of k-means is hampered by its inherent square scaling in memory with
the number of samples. In this contribution, we devise an approximate strategy
to minimize the kernel k-means cost function in which the trade-off between
accuracy and velocity is automatically ruled by the available system memory.
Moreover, we define an ad-hoc parallelization scheme well suited for hybrid
cpu-gpu state-of-the-art parallel architectures. We proved the effectiveness
both of the approximation scheme and of the parallelization method on standard
UCI datasets and on molecular dynamics (MD) data in the realm of computational
chemistry. In this applicative domain, clustering can play a key role for both
quantitively estimating kinetics rates via Markov State Models or to give
qualitatively a human compatible summarization of the underlying chemical
phenomenon under study. For these reasons, we selected it as a valuable
real-world application scenario.",2017-10-09,2017,2017-10,chemistry
"Using Rule-Based Labels for Weak Supervised Learning: A ChemNet for
  Transferable Chemical Property Prediction","With access to large datasets, deep neural networks (DNN) have achieved
human-level accuracy in image and speech recognition tasks. However, in
chemistry, data is inherently small and fragmented. In this work, we develop an
approach of using rule-based knowledge for training ChemNet, a transferable and
generalizable deep neural network for chemical property prediction that learns
in a weak-supervised manner from large unlabeled chemical databases. When
coupled with transfer learning approaches to predict other smaller datasets for
chemical properties that it was not originally trained on, we show that
ChemNet's accuracy outperforms contemporary DNN models that were trained using
conventional supervised learning. Furthermore, we demonstrate that the ChemNet
pre-training approach is equally effective on both CNN (Chemception) and RNN
(SMILES2vec) models, indicating that this approach is network architecture
agnostic and is effective across multiple data modalities. Our results indicate
a pre-trained ChemNet that incorporates chemistry domain knowledge, enables the
development of generalizable neural networks for more accurate prediction of
novel chemical properties.",2017-12-07,2017,2017-12,chemistry
A bright future for financial agent-based models,"The history of research in finance and economics has been widely impacted by
the field of Agent-based Computational Economics (ACE). While at the same time
being popular among natural science researchers for its proximity to the
successful methods of physics and chemistry for example, the field of ACE has
also received critics by a part of the social science community for its lack of
empiricism. Yet recent trends have shifted the weights of these general
arguments and potentially given ACE a whole new range of realism. At the base
of these trends are found two present-day major scientific breakthroughs: the
steady shift of psychology towards a hard science due to the advances of
neuropsychology, and the progress of artificial intelligence and more
specifically machine learning due to increasing computational power and big
data. These two have also found common fields of study in the form of
computational neuroscience, and human-computer interaction, among others. We
outline here the main lines of a computational research study of collective
economic behavior via Agent-Based Models (ABM) or Multi-Agent System (MAS),
where each agent would be endowed with specific cognitive and behavioral biases
known to the field of neuroeconomics, and at the same time autonomously
implement rational quantitative financial strategies updated by machine
learning. We postulate that such ABMs would offer a whole new range of realism.",2018-01-24,2018,2018-01,chemistry
"Tensor field networks: Rotation- and translation-equivariant neural
  networks for 3D point clouds","We introduce tensor field neural networks, which are locally equivariant to
3D rotations, translations, and permutations of points at every layer. 3D
rotation equivariance removes the need for data augmentation to identify
features in arbitrary orientations. Our network uses filters built from
spherical harmonics; due to the mathematical consequences of this filter
choice, each layer accepts as input (and guarantees as output) scalars,
vectors, and higher-order tensors, in the geometric sense of these terms. We
demonstrate the capabilities of tensor field networks with tasks in geometry,
physics, and chemistry.",2018-02-22,2018,2018-02,chemistry
Fractal AI: A fragile theory of intelligence,"Fractal AI is a theory for general artificial intelligence. It allows
deriving new mathematical tools that constitute the foundations for a new kind
of stochastic calculus, by modelling information using cellular automaton-like
structures instead of smooth functions. In the repository included we are
presenting a new Agent, derived from the first principles of the theory, which
is capable of solving Atari games several orders of magnitude more efficiently
than other similar techniques, like Monte Carlo Tree Search. The code provided
shows how it is now possible to beat some of the current State of The Art
benchmarks on Atari games, without previous learning and using less than 1000
samples to calculate each one of the actions when standard MCTS uses 3 Million
samples. Among other things, Fractal AI makes it possible to generate a huge
database of top performing examples with a very little amount of computation
required, transforming Reinforcement Learning into a supervised problem. The
algorithm presented is capable of solving the exploration vs exploitation
dilemma on both the discrete and continuous cases, while maintaining control
over any aspect of the behaviour of the Agent. From a general approach, new
techniques presented here have direct applications to other areas such as
Non-equilibrium thermodynamics, chemistry, quantum physics, economics,
information theory, and non-linear control theory.",2018-03-13,2018,2018-03,chemistry
"Unraveling Go gaming nature by Ising Hamiltonian and common fate graphs:
  tactics and statistics","Go gaming is a struggle between adversaries, black and white simple stones,
and aim to control the most Go board territory for success. Rules are simple
but Go game fighting is highly intricate. Stones placement and interaction on
board is random-appearance, likewise interaction phenomena among basic elements
in physics thermodynamics, chemistry, biology, or social issues. We model the
Go game dynamic employing an Ising model energy function, whose interaction
coefficients reflect the application of rules and tactics to build long-term
strategies. At any step of the game, the energy function of the model assesses
the control and strength of a player over the board. A close fit between
predictions of the model with actual game's scores is obtained. AlphaGo
computer is the current top Go player, but its behavior does not wholly reveal
the Go gaming nature. The Ising function allows for precisely model the
stochastic evolutions of Go gaming patterns, so, to advance the understanding
on Go own-dynamic -beyond the player`s abilities. The analysis of the frequency
and combination of tactics shows the formation of patterns in the groups of
stones during a game, regarding the turn of each player, or if human or
computer adversaries are confronted.",2018-03-15,2018,2018-03,chemistry
"Graph Convolutional Policy Network for Goal-Directed Molecular Graph
  Generation","Generating novel graph structures that optimize given objectives while
obeying some given underlying rules is fundamental for chemistry, biology and
social science research. This is especially important in the task of molecular
graph generation, whose goal is to discover novel molecules with desired
properties such as drug-likeness and synthetic accessibility, while obeying
physical laws such as chemical valency. However, designing models to find
molecules that optimize desired properties while incorporating highly complex
and non-differentiable rules remains to be a challenging task. Here we propose
Graph Convolutional Policy Network (GCPN), a general graph convolutional
network based model for goal-directed graph generation through reinforcement
learning. The model is trained to optimize domain-specific rewards and
adversarial loss through policy gradient, and acts in an environment that
incorporates domain-specific rules. Experimental results show that GCPN can
achieve 61% improvement on chemical property optimization over state-of-the-art
baselines while resembling known molecules, and achieve 184% improvement on the
constrained property optimization task.",2018-06-07,2018,2018-06,chemistry
"Jointly learning relevant subgraph patterns and nonlinear models of
  their indicators","Classification and regression in which the inputs are graphs of arbitrary
size and shape have been paid attention in various fields such as computational
chemistry and bioinformatics. Subgraph indicators are often used as the most
fundamental features, but the number of possible subgraph patterns are
intractably large due to the combinatorial explosion. We propose a novel
efficient algorithm to jointly learn relevant subgraph patterns and nonlinear
models of their indicators. Previous methods for such joint learning of
subgraph features and models are based on search for single best subgraph
features with specific pruning and boosting procedures of adding their
indicators one by one, which result in linear models of subgraph indicators. In
contrast, the proposed approach is based on directly learning regression trees
for graph inputs using a newly derived bound of the total sum of squares for
data partitions by a given subgraph feature, and thus can learn nonlinear
models through standard gradient boosting. An illustrative example we call the
Graph-XOR problem to consider nonlinearity, numerical experiments with real
datasets, and scalability comparisons to naive approaches using explicit
pattern enumeration are also presented.",2018-07-09,2018,2018-07,chemistry
"Evaluation as a Service architecture and crowdsourced problems solving
  implemented in Optil.io platform","Reliable and trustworthy evaluation of algorithms is a challenging process.
Firstly, each algorithm has its strengths and weaknesses, and the selection of
test instances can significantly influence the assessment process. Secondly,
the measured performance of the algorithm highly depends on the test
environment architecture, i.e., CPU model, available memory, cache
configuration, operating system's kernel, and even compilation flags. Finally,
it is often difficult to compare algorithm with software prepared by other
researchers. Evaluation as a Service (EaaS) is a cloud computing architecture
that tries to make assessment process more reliable by providing online tools
and test instances dedicated to the evaluation of algorithms. One of such
platforms is Optil.io which gives the possibility to define problems, store
evaluation data and evaluate solutions submitted by researchers in almost real
time. In this paper, we briefly present this platform together with four
challenges that were organized with its support.",2018-07-14,2018,2018-07,chemistry
Optimization of Molecules via Deep Reinforcement Learning,"We present a framework, which we call Molecule Deep $Q$-Networks (MolDQN),
for molecule optimization by combining domain knowledge of chemistry and
state-of-the-art reinforcement learning techniques (double $Q$-learning and
randomized value functions). We directly define modifications on molecules,
thereby ensuring 100\% chemical validity. Further, we operate without
pre-training on any dataset to avoid possible bias from the choice of that set.
Inspired by problems faced during medicinal chemistry lead optimization, we
extend our model with multi-objective reinforcement learning, which maximizes
drug-likeness while maintaining similarity to the original molecule. We further
show the path through chemical space to achieve optimization for a molecule to
understand how the model works.",2018-10-19,2018,2018-10,chemistry
"Physics Guided RNNs for Modeling Dynamical Systems: A Case Study in
  Simulating Lake Temperature Profiles","This paper proposes a physics-guided recurrent neural network model (PGRNN)
that combines RNNs and physics-based models to leverage their complementary
strengths and improve the modeling of physical processes. Specifically, we show
that a PGRNN can improve prediction accuracy over that of physical models,
while generating outputs consistent with physical laws, and achieving good
generalizability. Standard RNNs, even when producing superior prediction
accuracy, often produce physically inconsistent results and lack
generalizability. We further enhance this approach by using a pre-training
method that leverages the simulated data from a physics-based model to address
the scarcity of observed data. The PGRNN has the flexibility to incorporate
additional physical constraints and we incorporate a density-depth
relationship. Both enhancements further improve PGRNN performance. Although we
present and evaluate this methodology in the context of modeling the dynamics
of temperature in lakes, it is applicable more widely to a range of scientific
and engineering disciplines where mechanistic (also known as process-based)
models are used, e.g., power engineering, climate science, materials science,
computational chemistry, and biomedicine.",2018-10-31,2018,2018-10,chemistry
"Multi-Label Robust Factorization Autoencoder and its Application in
  Predicting Drug-Drug Interactions","Drug-drug interactions (DDIs) are a major cause of preventable
hospitalizations and deaths. Predicting the occurrence of DDIs helps drug
safety professionals allocate investigative resources and take appropriate
regulatory action promptly. Traditional DDI prediction methods predict DDIs
based on the similarity between drugs. Recently, researchers revealed that
predictive performance can be improved by better modeling the interactions
between drug pairs with bilinear forms. However, the shallow models leveraging
bilinear forms suffer from limitations on capturing complicated nonlinear
interactions between drug pairs. To this end, we propose Multi-Label Robust
Factorization Autoencoder (abbreviated to MuLFA) for DDI prediction, which
learns a representation of interactions between drug pairs and has the
capability of characterizing complicated nonlinear interactions more precisely.
Moreover, a novel loss called CuXCov is designed to effectively learn the
parameters of MuLFA. Furthermore, the decoder is able to generate high-risk
chemical structures of drug pairs for specific DDIs, assisting pharmacists to
better understand the relationship between drug chemistry and DDI. Experimental
results on real-world datasets demonstrate that MuLFA consistently outperforms
state-of-the-art methods; particularly, it increases 21:3% predictive
performance compared to the best baseline for top 50 frequent DDIs.We also
illustrate various case studies to demonstrate the efficacy of the chemical
structures generated by MuLFA in DDI diagnosis.",2018-11-01,2018,2018-11,chemistry
"Linear and Nonlinear Identification of Dryer System Using Artificial
  Intelligence and Neural Networks","As you read these words you are using a complex biological neural network.
You have a highly interconnected set of some neurons to facilitate your
reading, breathing, motion and thinking. Each of your biological neurons, a
rich assembly of tissue and chemistry, has the complexity, if not the speed, of
a microprocessor. Some of your neural structure was with you at birth. Other
parts have been established by experience.",2018-11-16,2018,2018-11,chemistry
"ParsRec: A Novel Meta-Learning Approach to Recommending Bibliographic
  Reference Parsers","Bibliographic reference parsers extract machine-readable metadata such as
author names, title, journal, and year from bibliographic reference strings. To
extract the metadata, the parsers apply heuristics or machine learning.
However, no reference parser, and no algorithm, consistently gives the best
results in every scenario. For instance, one tool may be best in extracting
titles in ACM citation style, but only third best when APA is used. Another
tool may be best in extracting English author names, while another one is best
for noisy data (i.e. inconsistent citation styles). In this paper, which is an
extended version of our recent RecSys poster, we address the problem of
reference parsing from a recommender-systems and meta-learning perspective. We
propose ParsRec, a meta-learning based recommender-system that recommends the
potentially most effective parser for a given reference string. ParsRec
recommends one out of 10 open-source parsers: Anystyle-Parser, Biblio, CERMINE,
Citation, Citation-Parser, GROBID, ParsCit, PDFSSA4MET, Reference Tagger, and
Science Parse. We evaluate ParsRec on 105k references from chemistry. We
propose two approaches to meta-learning recommendations. The first approach
learns the best parser for an entire reference string. The second approach
learns the best parser for each metadata type in a reference string. The second
approach achieved a 2.6% increase in F1 (0.909 vs. 0.886) over the best single
parser (GROBID), reducing the false positive rate by 20.2% (0.075 vs. 0.094),
and the false negative rate by 18.9% (0.107 vs. 0.132).",2018-11-26,2018,2018-11,chemistry
"Molecular Sets (MOSES): A Benchmarking Platform for Molecular Generation
  Models","Generative models are becoming a tool of choice for exploring the molecular
space. These models learn on a large training dataset and produce novel
molecular structures with similar properties. Generated structures can be
utilized for virtual screening or training semi-supervised predictive models in
the downstream tasks. While there are plenty of generative models, it is
unclear how to compare and rank them. In this work, we introduce a benchmarking
platform called Molecular Sets (MOSES) to standardize training and comparison
of molecular generative models. MOSES provides a training and testing datasets,
and a set of metrics to evaluate the quality and diversity of generated
structures. We have implemented and compared several molecular generation
models and suggest to use our results as reference points for further
advancements in generative chemistry research. The platform and source code are
available at https://github.com/molecularsets/moses.",2018-11-29,2018,2018-11,chemistry
Tensor networks for complex quantum systems,"Tensor network states and methods have erupted in recent years. Originally
developed in the context of condensed matter physics and based on
renormalization group ideas, tensor networks lived a revival thanks to quantum
information theory and the understanding of entanglement in quantum many-body
systems. Moreover, it has been not-so-long realized that tensor network states
play a key role in other scientific disciplines, such as quantum gravity and
artificial intelligence. In this context, here we provide an overview of basic
concepts and key developments in the field. In particular, we briefly discuss
the most important tensor network structures and algorithms, together with a
sketch on advances related to global and gauge symmetries, fermions,
topological order, classification of phases, entanglement Hamiltonians,
AdS/CFT, artificial intelligence, the 2d Hubbard model, 2d quantum
antiferromagnets, conformal field theory, quantum chemistry, disordered
systems, and many-body localization.",2018-12-10,2018,2018-12,chemistry
"Design of materials properties and device performance in memristive
  systems","Future development of the modern nanoelectronics and its flagships internet
of things and artificial intelligence as well as many related applications is
largely associated with memristive elements. This technology offers a broad
spectrum of functionalities, however, it follows predominantly a
phenomenological approach and crucial challenge/limit for further development
remains variability and lack of fundamental materials' design strategy. Here we
demonstrate the vital importance of materials' purity for determining
memristors' functionalities, showing that part per million foreign elements
significantly change the performance. By appropriate choice of chemistry and
amount of doping material we can selectively enhance desired operation mode. We
highlight how dopant dependent structure and charge/potential distribution in
the space charge layers and the cell capacitance determine the device kinetics
and functions. We evidence for first time experimentally the relation between
materials properties and switching/neuromorphic performance, thus providing
rules and directions for a rational design of memristive devices.",2019-02-05,2019,2019-02,chemistry
